,Date,Price,Open,High,Low,Vol
0,20000107,5.5,5.5,5.5,5.5,20912640000.0
1,20000110,5.613,5.613,5.613,5.613,19563520000.0
2,20000111,5.475,5.475,5.475,5.475,23987200000.0
3,20000112,5.483,5.483,5.483,5.483,23301120000.0
4,20000113,5.325,5.325,5.325,5.325,26383360000.0
5,20000114,5.4,5.4,5.4,5.4,16657920000.0
6,20000117,5.338,5.338,5.338,5.338,16573440000.0
7,20000118,5.363,5.363,5.363,5.363,17925120000.0
8,20000119,5.325,5.325,5.325,5.325,38883840000.0
9,20000120,5.313,5.313,5.313,5.313,26268160000.0
10,20000121,5.2,5.2,5.2,5.2,17512960000.0
11,20000124,5.163,5.163,5.163,5.163,18385920000.0
12,20000125,5.163,5.163,5.163,5.163,0.0
13,20000126,5.225,5.225,5.225,5.225,25917440000.0
14,20000127,5.188,5.188,5.188,5.188,38379520000.0
15,20000128,5.188,5.188,5.188,5.188,17894400000.0
16,20000131,5.101,5.101,5.101,5.101,32266240000.0
17,20000201,5.2,5.2,5.2,5.2,23672320000.0
18,20000202,5.3,5.3,5.3,5.3,14272000000.0
19,20000203,5.45,5.45,5.45,5.45,25950720000.0
20,20000204,5.588,5.588,5.588,5.588,21199360000.0
21,20000207,5.625,5.625,5.625,5.625,20613120000.0
22,20000208,5.75,5.75,5.75,5.75,31498240000.0
23,20000209,5.625,5.625,5.625,5.625,15600640000.0
24,20000210,5.463,5.463,5.463,5.463,18600960000.0
25,20000211,5.288,5.288,5.288,5.288,25297920000.0
26,20000214,5.213,5.213,5.213,5.213,10119680000.0
27,20000215,5.313,5.313,5.313,5.313,33546240000.0
28,20000216,5.738,5.738,5.738,5.738,73564160000.0
29,20000217,5.688,5.688,5.688,5.688,21411840000.0
30,20000218,5.563,5.563,5.563,5.563,22484480000.0
31,20000221,5.55,5.55,5.55,5.55,18700800000.0
32,20000222,5.525,5.525,5.525,5.525,22474240000.0
33,20000223,5.563,5.563,5.563,5.563,20334080000.0
34,20000224,5.713,5.713,5.713,5.713,32931840000.0
35,20000225,5.863,5.863,5.863,5.863,36958720000.0
36,20000228,5.75,5.75,5.75,5.75,11596800000.0
